,surface,region,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
140,130.0,1,2,2,No,No,No,No,No,No,No,550000.0
141,131.0,1,2,1,No,No,No,No,No,No,No,550000.0
142,135.0,33,3,3,Yes,No,No,No,Yes,Yes,Yes,540000.0
143,101.0,42,2,3,Yes,No,No,No,Yes,Yes,Yes,548000.0
144,167.0,42,3,2,Yes,No,No,No,Yes,Yes,Yes,634000.0
145,130.0,16,3,2,Yes,No,No,No,No,No,No,439000.0
146,160.0,16,4,2,No,No,No,No,No,No,No,530000.0
147,101.0,42,2,1,Yes,No,No,Yes,Yes,Yes,Yes,456000.0
148,114.0,16,2,1,Yes,No,No,No,No,No,No,250000.0
149,173.0,42,4,3,Yes,No,No,No,Yes,Yes,Yes,839800.0
150,80.0,48,2,2,No,No,No,No,No,Yes,Yes,220000.0
151,134.4,33,3,2,No,No,No,No,No,No,No,140000.0
152,150.0,30,4,2,Yes,No,No,Yes,Yes,Yes,Yes,338000.0
153,842.0,16,6,3,Yes,Yes,No,Yes,No,No,No,1600000.0
154,100.0,16,3,1,Yes,No,No,No,No,No,No,250000.0
155,74.0,25,2,1,Yes,No,No,No,Yes,Yes,No,170000.0
156,50.0,42,2,1,No,No,No,No,No,No,No,165000.0
157,68.0,42,1,1,Yes,No,No,No,Yes,Yes,No,230000.0
158,140.0,42,3,1,Yes,No,No,No,Yes,Yes,Yes,335000.0
159,143.0,42,3,2,Yes,No,No,No,No,No,No,295000.0
160,109.0,5,3,2,Yes,Yes,No,No,Yes,Yes,No,550000.0
161,112.0,5,2,1,No,No,No,No,No,No,No,570000.0
162,140.0,5,4,3,Yes,Yes,No,No,Yes,Yes,Yes,700000.0
163,51.0,33,2,1,No,No,No,No,No,No,No,95000.0
164,120.0,33,4,2,Yes,No,No,Yes,Yes,Yes,No,550000.0
165,70.0,88,2,1,No,No,No,No,No,No,No,150000.0
166,107.0,16,2,1,Yes,No,No,No,No,No,No,300000.0
167,67.0,42,1,1,No,No,No,No,No,Yes,Yes,195000.0
168,142.0,5,2,2,No,No,No,No,Yes,Yes,Yes,670000.0
169,172.0,42,4,2,No,No,No,No,No,No,No,340000.0
170,110.0,42,2,1,No,No,No,No,No,Yes,Yes,280000.0
171,137.0,42,3,1,No,No,No,No,Yes,Yes,No,319999.0
172,127.0,17,3,1,Yes,No,No,No,No,No,No,420000.0
173,107.0,74,2,1,Yes,No,No,No,No,No,Yes,170000.0
174,95.0,42,2,1,No,No,No,No,No,No,No,265000.0
175,115.0,42,2,2,Yes,No,No,No,No,Yes,No,315000.0
176,47.0,42,2,1,No,No,No,No,Yes,Yes,Yes,170000.0
177,90.0,42,2,1,No,No,No,Yes,No,No,No,215000.0
178,120.0,33,4,2,No,No,No,No,Yes,Yes,Yes,420000.0
179,145.0,16,3,2,Yes,Yes,No,No,No,Yes,Yes,320000.0
180,143.0,17,3,2,Yes,No,No,No,No,No,No,295000.0
181,109.0,42,2,2,No,No,No,No,Yes,Yes,No,230000.0
182,143.0,42,3,2,Yes,No,No,No,No,No,No,294999.0
183,145.0,18,4,2,No,No,No,No,No,Yes,Yes,312000.0
184,203.0,1,3,2,Yes,No,No,No,Yes,Yes,No,795000.0
185,115.0,17,2,1,Yes,No,No,No,No,Yes,No,295000.0
186,83.0,30,2,1,Yes,No,No,No,No,Yes,No,285000.0
187,110.0,42,3,2,Yes,No,No,No,Yes,Yes,No,360000.0
188,289.0,1,4,3,Yes,No,No,No,Yes,Yes,No,1450000.0
189,202.0,31,4,2,Yes,No,No,No,Yes,Yes,No,540000.0
190,220.0,31,4,2,Yes,No,No,No,Yes,Yes,No,610000.0
191,145.0,44,4,2,Yes,No,No,No,No,Yes,No,295000.0
192,125.0,34,3,2,Yes,No,No,No,Yes,Yes,No,395000.0
193,119.0,42,3,2,No,No,No,Yes,No,No,No,360000.0
194,60.0,23,2,1,No,No,No,No,Yes,Yes,Yes,196000.0
195,120.0,33,3,1,No,No,No,No,Yes,Yes,No,175000.0
196,125.0,1,2,1,No,No,No,No,Yes,Yes,Yes,545000.0
197,140.0,16,3,2,Yes,No,No,No,Yes,Yes,No,420000.0
198,97.4,25,2,1,No,No,No,No,No,No,No,180000.0
199,160.0,17,3,2,Yes,No,No,No,Yes,Yes,Yes,350000.0
200,78.0,42,2,1,No,No,No,No,No,Yes,Yes,230000.0
201,80.0,57,2,1,No,No,No,No,No,Yes,No,185000.0
202,73.0,23,3,1,No,No,No,No,No,Yes,No,210000.0
203,70.0,23,2,2,Yes,No,No,No,No,No,Yes,335000.0
204,100.0,41,3,1,No,No,No,No,No,No,No,140000.0
205,74.0,17,2,1,No,No,No,No,No,No,No,180000.0
206,80.0,24,3,1,No,No,No,No,No,No,No,125000.0
208,65.0,69,2,1,No,No,No,No,No,No,No,169000.0
209,130.0,9,3,2,Yes,No,No,No,No,No,No,350000.0
210,155.0,42,3,2,Yes,No,No,No,No,No,No,350000.0
211,71.0,61,1,1,No,No,No,No,Yes,Yes,No,160000.0
212,70.0,33,3,1,No,No,No,No,No,No,No,145000.0
213,114.0,5,2,2,Yes,No,No,No,No,No,No,430000.0
214,750.0,3,10,3,No,No,No,Yes,No,No,No,1550000.0
215,149.0,20,3,3,Yes,No,No,No,Yes,Yes,No,525000.0
216,157.0,16,3,2,Yes,No,No,No,Yes,Yes,No,410000.0
217,51.0,16,1,2,Yes,No,No,No,Yes,Yes,No,218000.0
218,106.0,49,2,1,Yes,No,No,No,No,Yes,Yes,259000.0
219,108.0,34,3,2,Yes,No,No,No,Yes,Yes,No,415000.0
220,83.0,32,2,1,Yes,No,No,No,Yes,Yes,No,230000.0
221,80.0,32,2,1,No,No,No,No,No,Yes,No,185000.0
222,135.0,28,3,2,No,No,No,No,Yes,Yes,No,228000.0
223,81.0,32,3,2,No,No,No,No,No,No,No,175000.0
224,149.75,32,3,2,Yes,No,No,No,Yes,Yes,No,350000.0
225,75.0,28,2,1,No,No,No,No,Yes,Yes,Yes,255000.0
226,135.0,28,3,2,Yes,No,No,No,Yes,Yes,No,228000.0
227,70.0,24,2,2,No,No,No,No,No,No,Yes,114000.0
228,132.0,41,3,2,No,No,No,No,No,Yes,Yes,280000.0
229,200.0,25,3,1,Yes,No,No,No,No,Yes,No,1500000.0
230,100.0,57,3,1,No,No,No,No,No,No,No,220000.0
231,127.0,17,2,2,No,No,No,No,Yes,Yes,Yes,290000.0
232,172.0,23,3,2,Yes,No,No,No,Yes,Yes,No,750000.0
233,95.0,42,3,1,No,No,No,No,Yes,Yes,No,285000.0
234,65.0,25,2,1,No,No,No,No,No,No,No,130000.0
235,73.0,17,2,1,Yes,No,No,No,No,Yes,No,210000.0
236,68.0,1,2,1,No,No,No,No,Yes,Yes,No,350000.0
237,60.0,42,1,1,No,No,No,No,Yes,Yes,Yes,180000.0
238,150.0,41,3,2,Yes,No,No,No,Yes,Yes,No,360000.0
239,185.0,1,3,1,Yes,No,No,No,Yes,Yes,Yes,790000.0
240,800.0,16,2,1,No,No,No,Yes,No,No,No,1069999.0
241,800.0,2,0,2,No,No,No,Yes,No,No,No,1069999.0
242,137.0,42,3,2,No,No,No,No,No,No,No,320000.0
243,78.0,67,2,1,Yes,No,No,No,No,Yes,No,194000.0
244,115.0,42,2,2,Yes,No,No,No,No,No,No,315000.0
245,143.0,17,3,2,Yes,No,No,No,No,No,No,295000.0
246,85.0,42,2,1,No,No,No,No,No,Yes,No,320000.0
247,95.0,42,2,1,No,No,No,No,No,No,No,265000.0
248,102.0,52,2,1,Yes,No,No,No,Yes,Yes,No,260000.0
249,143.0,42,3,2,Yes,No,No,No,No,No,No,294999.0
250,40.0,14,2,1,No,No,No,No,Yes,Yes,No,150000.0
251,111.0,1,2,1,Yes,No,No,No,Yes,Yes,No,530000.0
252,102.0,52,3,1,Yes,No,No,No,Yes,Yes,No,275000.0
253,75.0,30,2,1,No,No,No,No,Yes,Yes,No,250000.0
254,109.0,17,2,1,No,No,No,No,No,No,No,230000.0
255,462.0,9,4,1,Yes,No,No,No,Yes,Yes,Yes,780000.0
256,90.0,42,2,1,No,No,No,No,No,Yes,No,215000.0
257,80.0,30,2,1,No,No,No,No,Yes,Yes,No,195000.0
258,158.0,34,3,2,Yes,No,No,No,No,No,No,360000.0
259,70.0,45,2,1,No,No,No,No,No,No,No,110000.0
260,200.0,37,4,2,Yes,No,No,Yes,Yes,Yes,No,420000.0
261,110.0,61,3,1,No,No,No,No,No,No,No,165000.0
262,60.0,23,1,1,No,Yes,No,No,Yes,Yes,Yes,350000.0
263,120.0,29,2,1,Yes,No,No,No,No,No,No,270000.0
264,110.0,50,2,1,Yes,No,No,No,No,No,No,275000.0
265,80.0,42,2,1,No,No,No,No,Yes,Yes,Yes,220000.0
266,95.0,79,2,1,No,No,No,No,No,Yes,No,240000.0
267,106.0,37,3,2,Yes,No,No,No,No,No,Yes,270000.0
268,90.0,41,2,1,Yes,No,No,No,No,Yes,Yes,240000.0
269,120.0,48,3,1,Yes,No,No,No,No,Yes,Yes,309993.0
270,132.0,9,2,1,No,No,No,No,Yes,Yes,Yes,680000.0
271,190.0,8,3,2,Yes,No,No,No,No,No,No,500000.0
272,58.6,42,2,1,No,No,No,No,No,Yes,No,195000.0
273,81.0,42,2,1,No,No,No,No,No,Yes,No,229000.0
274,121.0,30,2,1,Yes,No,No,No,No,Yes,Yes,410000.0
275,173.0,3,3,3,Yes,No,No,No,Yes,Yes,No,485000.0
276,125.0,57,4,1,Yes,No,No,No,No,No,No,320000.0
277,90.0,57,3,1,Yes,No,No,No,No,No,No,210000.0
278,65.0,30,2,1,Yes,No,No,No,Yes,Yes,Yes,180000.0
279,95.0,6,2,1,Yes,No,No,No,No,Yes,Yes,270000.0
280,114.0,19,3,2,No,No,No,No,No,Yes,No,240000.0
281,80.0,37,2,1,No,No,No,No,No,No,No,220000.0
282,78.0,83,3,1,No,No,No,No,No,No,No,120000.0
283,69.0,34,2,1,Yes,No,No,No,Yes,Yes,Yes,195000.0
284,147.0,30,4,2,Yes,No,No,No,Yes,Yes,No,345000.0
285,205.0,30,5,3,Yes,No,No,No,Yes,Yes,No,610000.0
286,160.0,33,3,2,No,No,No,No,Yes,Yes,No,300000.0
287,120.0,30,4,2,Yes,No,No,No,Yes,Yes,Yes,310000.0
288,120.0,30,2,1,No,No,No,Yes,Yes,Yes,No,275000.0
289,90.0,53,2,1,Yes,No,No,No,No,No,No,1570000.0
290,115.0,74,3,2,No,No,No,No,No,No,No,165000.0
