surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
130.0,82,3.0,2,,,,,,,,220000.0
130.0,60,3.0,2,,,,,,,,250000.0
110.0,62,2.0,2,,,,,,,,215000.0
124.0,59,3.0,2,,,,,,,,175000.0
80.0,62,2.0,1,,,,,,,,120000.0
91.0,28,3.0,2,,,,,,,,270000.0
190.0,17,4.0,3,,,,,,,,930000.0
179.0,12,4.0,3,,,,,,,,395000.0
110.0,45,2.0,2,,,,,,,,220000.0
89.0,45,2.0,1,,,,,,,,195000.0
80.0,28,2.0,1,,,,,,,,125000.0
156.0,17,3.0,3,,,,,,,,450000.0
139.0,28,3.0,2,,,,,,,,360000.0
142.0,16,3.0,2,,,,,,,,576000.0
150.0,13,3.0,3,,,,,,,,305000.0
150.0,28,3.0,3,,,,,,,,280000.0
35.0,28,1.0,1,,,,,,,,140000.0
50.0,17,1.0,1,,,,,,,,160000.0
121.0,28,3.0,2,,,,,,,,190000.0
130.0,17,3.0,2,,,,,,,,520000.0
117.0,14,2.0,2,,,,,,,,289000.0
76.0,25,2.0,1,,,,,,,,115000.0
135.0,17,3.0,2,,,,,,,,305000.0
150.0,17,3.0,3,,,,,,,,820000.0
100.0,13,3.0,2,,,,,,,,300000.0
100.0,16,3.0,2,,,,,,,,320000.0
148.0,28,3.0,2,,,,,,,,320000.0
150.0,16,3.0,3,,,,,,,,357000.0
100.0,16,3.0,2,,,,,,,,215000.0
190.0,14,4.0,3,,,,,,,,300000.0
46.0,28,1.0,1,,,,,,,,170000.0
120.0,28,3.0,2,,,,,,,,360000.0
109.0,16,3.0,2,,,,,,,,200000.0
115.0,76,3.0,2,,,,,,,,195000.0
157.0,16,3.0,3,,,,,,,,525000.0
160.0,28,3.0,3,,,,,,,,500000.0
130.0,90,3.0,2,,,,,,,,280000.0
55.0,28,1.0,1,,,,,,,,195000.0
60.0,74,1.0,1,,,,,,,,90000.0
89.0,16,3.0,2,,,,,,,,175000.0
200.0,28,4.0,3,,,,,,,,530000.0
135.0,69,3.0,2,,,,,,,,250000.0
150.0,76,3.0,3,,,,,,,,340000.0
128.0,76,3.0,2,,,,,,,,195000.0
120.0,16,2.0,2,,,,,,,,350000.0
118.0,12,2.0,2,,,,,,,,291000.0
35.0,17,1.0,1,,,,,,,,115000.0
59.0,17,1.0,1,,,,,,,,250000.0
137.0,82,3.0,2,,,,,,,,320000.0
83.0,25,2.0,1,,,,,,,,180000.0
100.0,60,3.0,2,,,,,,,,200000.0
154.0,43,3.0,3,,,,,,,,278000.0
80.0,76,2.0,1,,,,,,,,137000.0
136.0,45,3.0,2,,,,,,,,200000.0
120.0,69,3.0,2,,,,,,,,320000.0
110.0,12,3.0,2,,,,,,,,280000.0
85.0,28,2.0,1,,,,,,,,88000.0
57.0,16,1.0,1,,,,,,,,235000.0
150.0,17,3.0,3,,,,,,,,490000.0
72.0,55,2.0,1,,,,,,,,105000.0
148.0,28,3.0,2,,,,,,,,280000.0
105.0,10,3.0,2,,,,,,,,450000.0
118.0,12,2.0,2,,,,,,,,291000.0
70.0,38,2.0,1,,,,,,,,140000.0
200.0,56,4.0,3,,,,,,,,310000.0
132.0,17,3.0,2,,,,,,,,422000.0
98.0,62,2.0,1,,,,,,,,175000.0
190.0,12,4.0,3,,,,,,,,480000.0
135.0,16,3.0,2,,,,,,,,280000.0
132.0,16,3.0,2,,,,,,,,310000.0
110.0,45,3.0,2,,,,,,,,230000.0
128.0,28,3.0,2,,,,,,,,370000.0
100.0,90,3.0,2,,,,,,,,142000.0
72.0,76,2.0,1,,,,,,,,140000.0
