surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
106.0,30,3.0,2.0,1,0,0,0,1,1,0,345000.0
118.0,57,3.0,2.0,0,0,0,0,0,1,0,245000.0
140.0,3,4.0,1.0,1,0,0,0,0,1,0,320000.0
109.0,76,3.0,1.0,1,0,0,0,0,1,0,110000.0
139.0,17,3.0,3.0,1,0,0,0,1,1,0,585000.0
120.0,30,3.0,1.0,0,0,0,0,0,1,0,340000.0
110.0,57,3.0,1.0,0,0,0,0,0,1,0,290000.0
80.0,38,2.0,1.0,0,0,0,0,0,0,0,150000.0
100.0,3,2.0,1.0,0,0,0,0,0,1,0,260000.0
95.0,14,2.0,2.0,1,0,0,0,0,0,0,245000.0
75.0,6,2.0,1.0,0,0,0,0,0,1,0,240000.0
70.0,38,2.0,1.0,0,0,0,1,0,1,0,150000.0
145.0,31,3.0,2.0,1,0,0,0,0,1,0,500000.0
106.0,32,2.0,1.0,1,0,0,0,1,1,1,240000.0
150.0,6,3.0,1.0,1,0,0,0,1,1,0,235000.0
98.0,82,2.0,1.0,0,0,0,0,0,0,1,160000.0
90.0,27,3.0,2.0,1,0,1,0,1,1,0,245000.0
115.0,61,3.0,1.0,0,0,0,0,0,0,0,165000.0
45.0,14,1.0,1.0,0,0,0,0,0,1,1,170000.0
100.0,33,2.0,1.0,0,0,0,0,1,1,0,240000.0
40.0,30,1.0,1.0,0,0,0,0,0,1,0,165000.0
40.0,57,1.0,1.0,0,0,0,0,0,0,0,130000.0
28.0,14,0.0,1.0,0,0,0,0,0,0,0,115000.0
120.0,27,3.0,1.0,1,0,0,0,1,1,1,220000.0
140.0,32,3.0,1.0,1,0,0,0,1,1,1,240000.0
140.0,30,3.0,2.0,1,0,0,1,1,1,1,400000.0
105.0,42,2.0,1.0,1,0,0,0,1,1,0,370000.0
136.0,42,4.0,1.0,1,0,0,0,1,0,0,620000.0
66.0,20,1.0,1.0,0,0,0,0,1,1,0,155000.0
