surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
80,16,2,2,0,0,0,0,0,0,0,180000
123,2,2,2,0,0,0,0,1,1,1,511640
148,11,3,2,1,1,0,0,1,1,0,570501
120,16,1,1,1,0,0,0,1,1,0,285000
115,2,2,2,0,0,0,0,1,1,1,480000
122,11,3,2,1,0,0,0,1,1,1,541000
113,11,2,2,0,0,0,1,1,1,0,457492
133,11,3,2,1,1,0,1,1,1,1,755000
148,11,3,2,0,0,0,1,1,1,1,616310
102,11,2,2,1,0,0,1,1,1,1,483000
56,16,1,1,0,0,0,0,0,0,0,142000
80,16,2,2,0,0,0,0,0,0,0,180000
117,16,3,2,0,0,0,0,0,0,0,272000
117,16,3,2,0,0,0,0,0,0,0,272000
127,16,2,2,1,0,0,1,1,1,1,400000
92,11,2,2,0,0,0,0,1,1,1,372066
63,11,1,1,1,0,0,0,1,1,1,315000
168,11,3,2,0,0,0,0,1,1,0,641679
88,11,2,2,1,0,0,0,1,1,1,404000
56,16,1,1,1,0,0,0,1,1,1,240000
110,16,2,2,1,0,0,0,1,1,0,335000
67,11,1,1,1,0,0,1,1,1,1,328000
101,11,2,2,1,0,0,0,1,1,1,433000
58,11,1,1,1,0,0,0,1,1,1,276000
112,16,2,2,1,0,0,0,1,1,1,380000
92,16,2,1,1,0,0,0,1,1,0,250000
162,2,3,2,1,0,0,0,1,1,1,663000
64,16,1,1,0,0,0,0,1,1,1,252000
112,16,2,2,0,0,0,0,1,1,1,448000
61,16,1,1,0,0,0,0,1,1,1,241000
61,16,1,1,0,0,0,0,1,1,1,241000
64,16,1,1,0,0,0,0,1,1,1,252000
75,16,2,1,1,0,0,0,0,1,0,130000
170,16,3,1,1,0,0,0,1,1,0,540000
170,16,3,1,1,0,0,0,1,1,0,540000
110,16,3,1,1,0,0,0,1,1,1,360000
53,16,2,1,0,0,0,0,1,1,1,248733
30,5,1,1,0,1,0,0,0,0,0,300000
161,5,4,3,0,0,0,0,1,1,1,853000
162,5,3,3,1,0,0,1,1,1,1,825000
190,5,3,3,1,0,0,0,1,1,0,820000
94,5,2,2,1,0,0,0,1,1,1,455000
138,5,2,3,1,1,0,1,1,1,1,635000
199,5,2,3,0,1,0,1,1,1,1,833000
165,5,3,3,1,1,0,1,1,1,1,743000
123,5,2,3,0,1,0,0,1,1,1,578000
120,5,2,3,0,1,0,0,0,0,0,564000
93,5,2,1,1,0,0,1,1,1,0,380000
172,5,3,2,1,0,0,1,1,1,0,855000
164,5,3,4,0,0,1,0,1,1,1,897000
117,5,2,2,1,0,0,0,1,1,1,641000
114,5,2,2,1,0,0,1,1,1,1,420000
72,5,2,1,0,0,0,0,1,1,1,320000
123,5,2,2,1,0,0,0,1,1,1,585000
72,5,1,1,1,0,0,0,1,1,1,320000
151,5,3,3,1,0,0,0,1,1,1,798000
233,5,4,3,1,0,1,0,1,1,1,795000
166,5,3,3,0,0,0,1,1,1,0,708000
175,5,3,2,1,0,0,0,1,1,1,780000
72,5,1,1,1,0,0,1,1,1,1,320000
97,5,2,1,0,0,0,0,1,1,0,330000
153,5,3,2,0,0,0,0,0,0,0,520000
188,5,3,2,1,0,0,0,0,0,0,690000
194,5,4,4,0,0,0,0,1,1,1,1150000
51,5,2,1,0,0,0,0,1,1,1,295896
137,5,2,2,1,1,0,1,1,1,1,724000
105,5,1,1,0,1,0,1,1,1,1,442000
123,5,2,2,0,1,0,0,1,1,1,578000
135,5,3,2,0,0,0,0,1,1,1,628000
203,5,2,3,0,1,0,1,1,1,1,857000
196,5,2,3,0,1,0,1,1,1,1,827000
221,5,3,3,0,1,0,1,1,1,0,883000
163,5,3,3,1,1,0,0,1,1,1,734000
141,5,2,3,1,1,0,1,1,1,1,649000
170,5,3,3,1,0,1,1,1,1,1,750000
137,5,2,2,1,1,0,1,1,1,1,724000
125,5,2,2,0,0,0,0,1,1,1,590000
165,5,3,2,1,0,0,0,1,1,1,680000
93,5,2,2,0,0,0,0,1,1,1,500181
110,5,2,2,0,0,0,0,1,1,1,589111
110,5,2,2,0,0,0,0,1,1,1,607000
140,5,3,2,0,1,0,1,1,1,1,741000
105,5,2,1,1,0,0,1,1,1,1,420000
60,5,1,1,1,0,0,1,0,0,0,320000
